internshipId,title,description,level,preferredMajor,openingDate,closingDate,status,companyName,representativeInChargeId,slots,isVisible
1,Mobile App Developer Intern,Develop mobile applications for iOS and Android. Work on user experience and performance optimization.,BASIC,Information Engineering & Media,2025-10-01,2026-01-15,APPROVED,Grab,REP006,3,true
2,Web Development Intern,Learn frontend and backend web development. Build responsive websites using modern technologies.,BASIC,Computer Science,2025-10-01,2026-01-20,APPROVED,Shopee,REP004,4,true
3,Data Analytics Intern,"Create dashboards and reports for business intelligence. Work with SQL, Python, and data visualization tools.",BASIC,Data Science & AI,2025-10-01,2026-01-05,APPROVED,Microsoft Asia,REP002,2,true
4,Software Engineering Intern,Develop and maintain web applications using modern frameworks. Work on real projects with mentorship from senior engineers.,INTERMEDIATE,Computer Science,2025-10-15,2026-01-15,APPROVED,Google Singapore,REP001,5,true
5,Full Stack Developer Intern,"Develop end-to-end features for e-commerce platform. Experience with React, Node.js, and microservices architecture.",INTERMEDIATE,Computer Science,2025-11-10,2026-01-10,APPROVED,Shopee,REP004,6,true
6,Cloud Infrastructure Intern,Work on AWS cloud services and infrastructure automation. Learn about scalable systems and DevOps practices.,ADVANCED,Computer Engineering,2025-10-20,2026-01-20,APPROVED,Amazon Web Services,REP003,3,true
7,AI Research Intern,Research and implement cutting-edge AI algorithms. Work on natural language processing and computer vision projects.,ADVANCED,Data Science & AI,2025-10-25,2026-01-25,APPROVED,ByteDance,REP005,2,true
8,Backend Systems Intern,"Design and implement scalable backend systems. Work with databases, APIs, and distributed systems.",BASIC,Computer Engineering,2025-10-10,2026-01-10,APPROVED,Google Singapore,REP001,3,true
9,Cybersecurity Intern,Assess security vulnerabilities and implement security measures. Learn about penetration testing and security protocols.,ADVANCED,Computer Engineering,2025-10-30,2026-01-30,APPROVED,Amazon Web Services,REP003,2,true
10,FinTech Software Intern,Develop financial technology solutions and banking applications. Work on secure payment systems and digital banking features.,INTERMEDIATE,Computer Science,2025-11-20,2026-01-20,APPROVED,DBS Bank,REP007,4,true
11,UI/UX Design Intern,Design user interfaces and user experiences for web and mobile applications. Work with design tools and user research.,BASIC,Information Engineering & Media,2025-11-01,2026-02-01,PENDING,Grab,REP006,3,false
12,Game Development Intern,"Develop mobile and web games. Work on game mechanics, graphics, and user interaction.",BASIC,Computer Science,2025-10-05,2025-12-05,REJECTED,Shopee,REP004,5,false
13,Database Administrator Intern,"Manage and optimize database systems. Learn about database design, performance tuning, and backup strategies.",INTERMEDIATE,Computer Engineering,2025-10-15,2026-01-15,APPROVED,Microsoft Asia,REP002,2,true
14,Network Security Intern,Work on network security protocols and firewall configurations. Learn about cybersecurity best practices.,ADVANCED,Computer Engineering,2025-11-01,2026-02-01,APPROVED,Amazon Web Services,REP003,1,true
15,Machine Learning Intern,Develop machine learning models for predictive analytics. Work with TensorFlow and PyTorch frameworks.,ADVANCED,Data Science & AI,2025-10-20,2026-01-20,FILLED,ByteDance,REP005,2,true
16,DevOps Engineering Intern,"Automate deployment pipelines and infrastructure management. Work with CI/CD tools and cloud platforms.",INTERMEDIATE,Computer Engineering,2025-11-15,2026-02-15,APPROVED,Google Singapore,REP001,3,false
17,QA Testing Intern,Perform quality assurance testing for software applications. Write test cases and automate testing processes.,BASIC,Computer Science,2025-10-01,2025-11-30,APPROVED,DBS Bank,REP007,2,true
